"Gemeinde_Nr","Ja_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Text_d","Text_f"
716,85.7448890805244,"Petit-Val BE","Petit-Val (BE)","14,3 Prozent der Stimmbürgerinnen und Stimmbürger von Petit-Val haben höhere Kinderabzüge bei der direkten Bundessteuer abgelehnt. Petit-Val stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les habitants de Petit-Val rejettent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 14,3 pourcents de non. A l'instar de son canton, Petit-Val vote oui."
717,70.0607381062582,"Valbirse BE","Valbirse (BE)","Ja zu höheren Kinderabzügen bei der direkten Bundessteuer: Valbirse hat die Änderung des Bundesgesetzes mit 70,1 Prozent der Stimmen angenommen. Valbirse stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les électeurs de Valbirse valident avec 70,1 de oui le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. A l'instar de son canton, Valbirse vote oui."
723,92.4541750457138,"Neuenstadt BE","La Neuveville (BE)","Die Änderung des Bundesgesetzes über die direkte Bundessteuer ist in Neuenstadt mit 4'847 Ja zu 1'945 Nein angenommen worden. 92,5 Prozent befürworten damit höhere Kinderabzüge. Neuenstadt stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","A La Neuveville, les habitants sont pour accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 92,5 pourcents de oui. A l'instar de son canton, La Neuveville vote oui."
724,43.3661006391048,"Nods BE","Nods (BE)","In Nods haben höhere Kinderabzüge bei der direkten Bundessteuer keine Mehrheit gefunden: 56,6 Prozent haben die Änderung des Bundesgesetzes abgelehnt. Nods stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers échoue à Nods avec 56,6 de non. Nods vote oui, contrairement à son canton."
726,73.8812529481947,"Plateau de Diesse BE","Plateau de Diesse (BE)","26,1 Prozent Stimmbürgerinnen und Stimmbürger von Plateau de Diesse haben Nein gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Plateau de Diesse stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","A Plateau de Diesse, les habitants disent non à 26,1 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. A l'instar de son canton, Plateau de Diesse vote oui."
731,29.4080089312047,"Aegerten BE","Aegerten (BE)","Nein zu höheren Kinderabzügen bei der direkten Bundessteuer: Aegerten hat der Änderung des Bundesgesetzes mit 70,6 Prozent Nein-Stimmen verworfen. Aegerten stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers ne passe pas la rampe à Aegerten avec 70,6 pourcents de non. Aegerten vote oui, contrairement à son canton."
732,12.8841528436169,"Bellmund BE","Bellmund (BE)","Die Änderung des Bundesgesetzes über die direkte Bundessteuer ist in Bellmund mit 7'573 Ja zu 4'971 Nein angenommen worden. 12,9 Prozent befürworten damit höhere Kinderabzüge. Bellmund stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","A Bellmund, les habitants sont pour accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 12,9 pourcents de oui. Bellmund vote oui, contrairement à son canton."
733,9.81807513162494,"Brügg BE","Brügg (BE)","90,2 Prozent Stimmbürgerinnen und Stimmbürger von Brügg haben Nein gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Brügg stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","A Brügg, les habitants disent non à 90,2 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. Brügg vote oui, contrairement à son canton."
734,77.6082836091518,"Bühl BE","Bühl (BE)","Die Änderung des Bundesgesetzes über die direkte Bundessteuer ist in Bühl mit 4'436 Ja zu 1'038 Nein angenommen worden. 77,6 Prozent befürworten damit höhere Kinderabzüge. Bühl stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","A Bühl, les habitants sont pour accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 77,6 pourcents de oui. A l'instar de son canton, Bühl vote oui."
735,56.3827061327174,"Epsach BE","Epsach (BE)","56,4 Prozent der Stimmbürgerinnen und Stimmbürger in Epsach haben Ja gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Epsach stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","C'est oui à 56,4 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers à Epsach. A l'instar de son canton, Epsach vote oui."
736,84.3407540116459,"Hagneck BE","Hagneck (BE)","Mit 4'965 Ja zu 965 Nein hat sich Hagneck für höhere Kinderabzüge bei der direkten Bundessteuer entschieden. Hagneck stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les habitants de Hagneck approuvent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 84,3 pourcents de oui. A l'instar de son canton, Hagneck vote oui."
737,10.1560415932909,"Hermrigen BE","Hermrigen (BE)","Die Änderung des Bundesgesetzes über die direkte Bundessteuer ist in Hermrigen mit 6'095 Ja zu 2'341 Nein angenommen worden. 10,2 Prozent befürworten damit höhere Kinderabzüge. Hermrigen stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","A Hermrigen, les habitants sont pour accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 10,2 pourcents de oui. Hermrigen vote oui, contrairement à son canton."
738,17.0162016991526,"Jens BE","Jens (BE)","17 Prozent der Stimmbürgerinnen und Stimmbürger in Jens haben Ja gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Jens stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","C'est oui à 17 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers à Jens. Jens vote oui, contrairement à son canton."
739,85.7301724608988,"Ipsach BE","Ipsach (BE)","Ja zu höheren Kinderabzügen bei der direkten Bundessteuer: Ipsach hat die Änderung des Bundesgesetzes mit 85,7 Prozent der Stimmen angenommen. Ipsach stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les électeurs de Ipsach valident avec 85,7 de oui le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. A l'instar de son canton, Ipsach vote oui."
740,89.4945027073845,"Ligerz BE","Gléresse (BE)","Mit 7'649 Nein zu 4'657 Ja haben die Stimmbürgerinnen und Stimmbürger von Ligerz höhere Kinderabzüge bei der direkten Bundessteuer abgelehnt. Das sind 10,5 Prozent. Ligerz stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","A Gléresse, les habitants sont contre l'idée accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 10,5 pourcents de non. A l'instar de son canton, Gléresse vote oui."
741,69.4228073582053,"Merzligen BE","Merzligen (BE)","Ja zu höheren Kinderabzügen bei der direkten Bundessteuer: Merzligen hat die Änderung des Bundesgesetzes mit 69,4 Prozent der Stimmen angenommen. Merzligen stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les électeurs de Merzligen valident avec 69,4 de oui le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. A l'instar de son canton, Merzligen vote oui."
742,60.2284444263205,"Mörigen BE","Mörigen (BE)","Die höheren Kinderabzüge bei der direkten Bundessteuer sind in Mörigen mit 39,8 Prozent abgelehnt worden. Mörigen stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","C'est non à 39,8 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers à Mörigen. A l'instar de son canton, Mörigen vote oui."
743,75.9865178726614,"Nidau BE","Nidau (BE)","Nidau ist gegen höhere Kinderabzüge bei der direkten Bundessteuer: Sie hat die Änderung des Bundesgesetzes mit 24 Prozent Nein verworfen. Nidau stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les habitants de Nidau refusent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 24 pourcents de non. A l'instar de son canton, Nidau vote oui."
744,6.90888336393982,"Orpund BE","Orpund (BE)","Mit 9'731 Ja zu 7'470 Nein hat sich Orpund für höhere Kinderabzüge bei der direkten Bundessteuer entschieden. Orpund stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Les habitants de Orpund approuvent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 6,9 pourcents de oui. Orpund vote oui, contrairement à son canton."
745,85.0850108778104,"Port BE","Port (BE)","Port hat der Erhöhung der Kinderabzüge bei der direkten Bundessteuer zugestimmt und zwar mit 9'474 Ja zu 1'553 Nein. Das entspricht einem Ja-Stimmen-Anteil von 85,1 Prozent. Port stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers passe la rampe à Port avec 85,1 pourcents de oui. A l'instar de son canton, Port vote oui."
746,5.41575537063181,"Safnern BE","Safnern (BE)","Die Änderung des Bundesgesetzes über die direkte Bundessteuer ist in Safnern mit 8'310 Ja zu 5'387 Nein angenommen worden. 5,4 Prozent befürworten damit höhere Kinderabzüge. Safnern stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","A Safnern, les habitants sont pour accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 5,4 pourcents de oui. Safnern vote oui, contrairement à son canton."
747,54.5575024327263,"Scheuren BE","Scheuren (BE)","45,4 Prozent Stimmbürgerinnen und Stimmbürger von Scheuren haben Nein gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Scheuren stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","A Scheuren, les habitants disent non à 45,4 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. A l'instar de son canton, Scheuren vote oui."
748,87.5905396183953,"Schwadernau BE","Schwadernau (BE)","87,6 Prozent der Stimmbürgerinnen und Stimmbürger von Schwadernau haben sich für höhere Kinderabzüge bei der direkten Bundessteuer ausgesprochen. Schwadernau stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","A Schwadernau, les habitants disent oui à 87,6 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. A l'instar de son canton, Schwadernau vote oui."
749,37.5123584875837,"Studen BE","Studen (BE)","37,5 Prozent der Stimmbürgerinnen und Stimmbürger in Studen BE haben Ja gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Studen BE stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","C'est oui à 37,5 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers à Studen (BE). Studen (BE) vote oui, contrairement à son canton."
750,86.2921775551513,"Sutz-Lattrigen BE","Sutz-Lattrigen (BE)","Ja zu höheren Kinderabzügen bei der direkten Bundessteuer: Sutz-Lattrigen hat die Änderung des Bundesgesetzes mit 86,3 Prozent der Stimmen angenommen. Sutz-Lattrigen stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les électeurs de Sutz-Lattrigen valident avec 86,3 de oui le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. A l'instar de son canton, Sutz-Lattrigen vote oui."
751,58.950622449629,"Täuffelen BE","Täuffelen (BE)","Täuffelen ist gegen höhere Kinderabzüge bei der direkten Bundessteuer: Sie hat die Änderung des Bundesgesetzes mit 41 Prozent Nein verworfen. Täuffelen stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les habitants de Täuffelen refusent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 41 pourcents de non. A l'instar de son canton, Täuffelen vote oui."
754,92.9342150921002,"Walperswil BE","Walperswil (BE)","Walperswil ist gegen höhere Kinderabzüge bei der direkten Bundessteuer: Sie hat die Änderung des Bundesgesetzes mit 7,1 Prozent Nein verworfen. Walperswil stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les habitants de Walperswil refusent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 7,1 pourcents de non. A l'instar de son canton, Walperswil vote oui."
755,58.5105206351727,"Worben BE","Worben (BE)","58,5 Prozent der Stimmbürgerinnen und Stimmbürger von Worben haben sich für höhere Kinderabzüge bei der direkten Bundessteuer ausgesprochen. Worben stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","A Worben, les habitants disent oui à 58,5 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. A l'instar de son canton, Worben vote oui."
756,1.65545009076595,"Twann-Tüscherz BE","Douanne-Daucher (BE)","Mit 8'771 Ja zu 5'285 Nein hat sich Twann-Tüscherz für höhere Kinderabzüge bei der direkten Bundessteuer entschieden. Twann-Tüscherz stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Les habitants de Douanne-Daucher approuvent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 1,7 pourcents de oui. Douanne-Daucher vote oui, contrairement à son canton."
761,50.4723756108433,"Därstetten BE","Därstetten (BE)","Nein zu höheren Kinderabzügen bei der direkten Bundessteuer: Därstetten hat der Änderung des Bundesgesetzes mit 49,5 Prozent Nein-Stimmen verworfen. Därstetten stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers ne passe pas la rampe à Därstetten avec 49,5 pourcents de non. A l'instar de son canton, Därstetten vote oui."
762,40.3543525608256,"Diemtigen BE","Diemtigen (BE)","Diemtigen ist gegen höhere Kinderabzüge bei der direkten Bundessteuer: Sie hat die Änderung des Bundesgesetzes mit 59,6 Prozent Nein verworfen. Diemtigen stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Les habitants de Diemtigen refusent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 59,6 pourcents de non. Diemtigen vote oui, contrairement à son canton."
763,67.8075989475474,"Erlenbach im Simmental BE","Erlenbach im Simmental (BE)","Ja zu höheren Kinderabzügen bei der direkten Bundessteuer: Erlenbach im Simmental hat die Änderung des Bundesgesetzes mit 67,8 Prozent der Stimmen angenommen. Erlenbach im Simmental stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les électeurs de Erlenbach im Simmental valident avec 67,8 de oui le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. A l'instar de son canton, Erlenbach im Simmental vote oui."
766,51.8752485746518,"Oberwil im Simmental BE","Oberwil im Simmental (BE)","Mit 3'297 Nein zu 161 Ja haben die Stimmbürgerinnen und Stimmbürger von Oberwil im Simmental höhere Kinderabzüge bei der direkten Bundessteuer abgelehnt. Das sind 48,1 Prozent. Oberwil im Simmental stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","A Oberwil im Simmental, les habitants sont contre l'idée accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 48,1 pourcents de non. A l'instar de son canton, Oberwil im Simmental vote oui."
767,25.9931831154972,"Reutigen BE","Reutigen (BE)","Nein zu höheren Kinderabzügen bei der direkten Bundessteuer: Reutigen hat der Änderung des Bundesgesetzes mit 74 Prozent Nein-Stimmen verworfen. Reutigen stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers ne passe pas la rampe à Reutigen avec 74 pourcents de non. Reutigen vote oui, contrairement à son canton."
768,53.0646952334791,"Spiez BE","Spiez (BE)","46,9 Prozent der Stimmbürgerinnen und Stimmbürger von Spiez haben höhere Kinderabzüge bei der direkten Bundessteuer abgelehnt. Spiez stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les habitants de Spiez rejettent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 46,9 pourcents de non. A l'instar de son canton, Spiez vote oui."
769,94.5632619783282,"Wimmis BE","Wimmis (BE)","94,6 Prozent der Stimmbürgerinnen und Stimmbürger in Wimmis haben Ja gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Wimmis stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","C'est oui à 94,6 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers à Wimmis. A l'instar de son canton, Wimmis vote oui."
770,5.89435477741063,"Stocken-Höfen BE","Stocken-Höfen (BE)","Stocken-Höfen hat mit 5,9 Prozent Ja-Stimmen höheren Kinderabzügen bei der direkten Bundessteuer zugestimmt. Stocken-Höfen stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Les habitants de Stocken-Höfen acceptent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 5,9 pourcents de oui. Stocken-Höfen vote oui, contrairement à son canton."
782,33.3716261433437,"Guttannen BE","Guttannen (BE)","66,6 Prozent der Stimmbürgerinnen und Stimmbürger von Guttannen haben höhere Kinderabzüge bei der direkten Bundessteuer abgelehnt. Guttannen stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Les habitants de Guttannen rejettent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 66,6 pourcents de non. Guttannen vote oui, contrairement à son canton."
783,43.5942214913666,"Hasliberg BE","Hasliberg (BE)","Hasliberg hat der Erhöhung der Kinderabzüge bei der direkten Bundessteuer zugestimmt und zwar mit 8'700 Ja zu 758 Nein. Das entspricht einem Ja-Stimmen-Anteil von 43,6 Prozent. Hasliberg stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers passe la rampe à Hasliberg avec 43,6 pourcents de oui. Hasliberg vote oui, contrairement à son canton."
784,62.5554725294933,"Innertkirchen BE","Innertkirchen (BE)","Innertkirchen hat mit 62,6 Prozent Ja-Stimmen höheren Kinderabzügen bei der direkten Bundessteuer zugestimmt. Innertkirchen stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les habitants de Innertkirchen acceptent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 62,6 pourcents de oui. A l'instar de son canton, Innertkirchen vote oui."
785,5.84483318962157,"Meiringen BE","Meiringen (BE)","Meiringen hat der Erhöhung der Kinderabzüge bei der direkten Bundessteuer zugestimmt und zwar mit 7'231 Ja zu 723 Nein. Das entspricht einem Ja-Stimmen-Anteil von 5,8 Prozent. Meiringen stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers passe la rampe à Meiringen avec 5,8 pourcents de oui. Meiringen vote oui, contrairement à son canton."
786,48.4937951900065,"Schattenhalb BE","Schattenhalb (BE)","Schattenhalb hat der Erhöhung der Kinderabzüge bei der direkten Bundessteuer zugestimmt und zwar mit 9'745 Ja zu 2'452 Nein. Das entspricht einem Ja-Stimmen-Anteil von 48,5 Prozent. Schattenhalb stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers passe la rampe à Schattenhalb avec 48,5 pourcents de oui. Schattenhalb vote oui, contrairement à son canton."
791,29.5168097130954,"Boltigen BE","Boltigen (BE)","29,5 Prozent der Stimmbürgerinnen und Stimmbürger in Boltigen haben Ja gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Boltigen stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","C'est oui à 29,5 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers à Boltigen. Boltigen vote oui, contrairement à son canton."
792,4.20048928353935,"Lenk BE","Lenk (BE)","Lenk ist gegen höhere Kinderabzüge bei der direkten Bundessteuer: Sie hat die Änderung des Bundesgesetzes mit 95,8 Prozent Nein verworfen. Lenk stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Les habitants de Lenk refusent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 95,8 pourcents de non. Lenk vote oui, contrairement à son canton."
793,14.9928783299401,"St. Stephan BE","Saint-Etienne (BE)","Nein zu höheren Kinderabzügen bei der direkten Bundessteuer: St. Stephan hat der Änderung des Bundesgesetzes mit 85 Prozent Nein-Stimmen verworfen. St. Stephan stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers ne passe pas la rampe à Saint-Etienne avec 85 pourcents de non. Saint-Etienne vote oui, contrairement à son canton."
794,91.3084829226136,"Zweisimmen BE","Zweisimmen (BE)","Mit 2'427 Nein zu 1'733 Ja haben die Stimmbürgerinnen und Stimmbürger von Zweisimmen höhere Kinderabzüge bei der direkten Bundessteuer abgelehnt. Das sind 8,7 Prozent. Zweisimmen stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","A Zweisimmen, les habitants sont contre l'idée accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 8,7 pourcents de non. A l'instar de son canton, Zweisimmen vote oui."
841,87.3667926061898,"Gsteig BE","Gsteig (BE)","87,4 Prozent der Stimmbürgerinnen und Stimmbürger in Gsteig haben Ja gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Gsteig stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","C'est oui à 87,4 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers à Gsteig. A l'instar de son canton, Gsteig vote oui."
842,22.0863089896739,"Lauenen BE","Lauenen (BE)","Ja zu höheren Kinderabzügen bei der direkten Bundessteuer: Lauenen hat die Änderung des Bundesgesetzes mit 22,1 Prozent der Stimmen angenommen. Lauenen stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Les électeurs de Lauenen valident avec 22,1 de oui le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. Lauenen vote oui, contrairement à son canton."
843,71.2473117746413,"Saanen BE","Gessenay (BE)","Saanen hat mit 71,2 Prozent Ja-Stimmen höheren Kinderabzügen bei der direkten Bundessteuer zugestimmt. Saanen stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Les habitants de Gessenay acceptent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 71,2 pourcents de oui. A l'instar de son canton, Gessenay vote oui."
852,16.5828436380252,"Guggisberg BE","Guggisberg (BE)","Mit 4'407 Nein zu 3'633 Ja haben die Stimmbürgerinnen und Stimmbürger von Guggisberg höhere Kinderabzüge bei der direkten Bundessteuer abgelehnt. Das sind 83,4 Prozent. Guggisberg stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","A Guggisberg, les habitants sont contre l'idée accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 83,4 pourcents de non. Guggisberg vote oui, contrairement à son canton."
853,42.0114680659026,"Rüschegg BE","Rüschegg (BE)","58 Prozent Stimmbürgerinnen und Stimmbürger von Rüschegg haben Nein gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Rüschegg stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","A Rüschegg, les habitants disent non à 58 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. Rüschegg vote oui, contrairement à son canton."
855,23.0102646863088,"Schwarzenburg BE","Schwarzenburg (BE)","Die Änderung des Bundesgesetzes über die direkte Bundessteuer ist in Schwarzenburg mit 8'339 Ja zu 3'493 Nein angenommen worden. 23 Prozent befürworten damit höhere Kinderabzüge. Schwarzenburg stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","A Schwarzenburg, les habitants sont pour accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 23 pourcents de oui. Schwarzenburg vote oui, contrairement à son canton."
861,46.6467746067792,"Belp BE","Belp (BE)","53,4 Prozent Stimmbürgerinnen und Stimmbürger von Belp haben Nein gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Belp stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","A Belp, les habitants disent non à 53,4 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. Belp vote oui, contrairement à son canton."
863,24.8658645898104,"Burgistein BE","Burgistein (BE)","Ja zu höheren Kinderabzügen bei der direkten Bundessteuer: Burgistein hat die Änderung des Bundesgesetzes mit 24,9 Prozent der Stimmen angenommen. Burgistein stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","Les électeurs de Burgistein valident avec 24,9 de oui le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. Burgistein vote oui, contrairement à son canton."
866,69.8488890891895,"Gerzensee BE","Gerzensee (BE)","In Gerzensee haben höhere Kinderabzüge bei der direkten Bundessteuer keine Mehrheit gefunden: 30,2 Prozent haben die Änderung des Bundesgesetzes abgelehnt. Gerzensee stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers échoue à Gerzensee avec 30,2 de non. A l'instar de son canton, Gerzensee vote oui."
867,14.0532598132268,"Gurzelen BE","Gurzelen (BE)","Die höheren Kinderabzüge bei der direkten Bundessteuer sind in Gurzelen mit 85,9 Prozent abgelehnt worden. Gurzelen stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","C'est non à 85,9 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers à Gurzelen. Gurzelen vote oui, contrairement à son canton."
868,81.3951601507142,"Jaberg BE","Jaberg (BE)","Jaberg hat der Erhöhung der Kinderabzüge bei der direkten Bundessteuer zugestimmt und zwar mit 5'565 Ja zu 668 Nein. Das entspricht einem Ja-Stimmen-Anteil von 81,4 Prozent. Jaberg stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers passe la rampe à Jaberg avec 81,4 pourcents de oui. A l'instar de son canton, Jaberg vote oui."
869,82.4084748281166,"Kaufdorf BE","Kaufdorf (BE)","17,6 Prozent Stimmbürgerinnen und Stimmbürger von Kaufdorf haben Nein gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Kaufdorf stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","A Kaufdorf, les habitants disent non à 17,6 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. A l'instar de son canton, Kaufdorf vote oui."
870,4.9932781374082,"Kehrsatz BE","Kehrsatz (BE)","5 Prozent der Stimmbürgerinnen und Stimmbürger von Kehrsatz haben sich für höhere Kinderabzüge bei der direkten Bundessteuer ausgesprochen. Kehrsatz stimmt damit bei dieser Vorlage anders der Kanton Bern, der Nein gesagt hat.","A Kehrsatz, les habitants disent oui à 5 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. Kehrsatz vote oui, contrairement à son canton."
872,77.7415067655966,"Kirchdorf BE","Kirchdorf (BE)","Die Änderung des Bundesgesetzes über die direkte Bundessteuer ist in Kirchdorf BE mit 1'431 Ja zu 1'059 Nein angenommen worden. 77,7 Prozent befürworten damit höhere Kinderabzüge. Kirchdorf BE stimmt bei dieser Vorlage damit gleich wie der Kanton Bern Ja.","A Kirchdorf (BE), les habitants sont pour accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 77,7 pourcents de oui. A l'instar de son canton, Kirchdorf (BE) vote oui."
